category,report_type,stock_symbol,year,month,value_type
Sales_profit-loss,profit-loss,ADANIENT,2013,3,46375.0
Sales_profit-loss,profit-loss,ADANIENT,2014,3,54947.0
Sales_profit-loss,profit-loss,ADANIENT,2015,3,64465.0
Sales_profit-loss,profit-loss,ADANIENT,2016,3,34008.0
Sales_profit-loss,profit-loss,ADANIENT,2017,3,36533.0
Sales_profit-loss,profit-loss,ADANIENT,2018,3,35924.0
Sales_profit-loss,profit-loss,ADANIENT,2019,3,40379.0
Sales_profit-loss,profit-loss,ADANIENT,2020,3,43403.0
Sales_profit-loss,profit-loss,ADANIENT,2021,3,39537.0
Sales_profit-loss,profit-loss,ADANIENT,2022,3,69420.0
Sales_profit-loss,profit-loss,ADANIENT,2023,3,127540.0
Sales_profit-loss,profit-loss,ADANIENT,2024,3,96421.0
Expenses_profit-loss,profit-loss,ADANIENT,2013,3,40354.0
Expenses_profit-loss,profit-loss,ADANIENT,2014,3,45564.0
Expenses_profit-loss,profit-loss,ADANIENT,2015,3,52015.0
Expenses_profit-loss,profit-loss,ADANIENT,2016,3,32325.0
Expenses_profit-loss,profit-loss,ADANIENT,2017,3,34631.0
Expenses_profit-loss,profit-loss,ADANIENT,2018,3,33886.0
Expenses_profit-loss,profit-loss,ADANIENT,2019,3,38409.0
Expenses_profit-loss,profit-loss,ADANIENT,2020,3,41108.0
Expenses_profit-loss,profit-loss,ADANIENT,2021,3,37031.0
Expenses_profit-loss,profit-loss,ADANIENT,2022,3,65707.0
Expenses_profit-loss,profit-loss,ADANIENT,2023,3,118722.0
Expenses_profit-loss,profit-loss,ADANIENT,2024,3,85044.0
Operating Profit,profit-loss,ADANIENT,2013,3,6021.0
Operating Profit,profit-loss,ADANIENT,2014,3,9383.0
Operating Profit,profit-loss,ADANIENT,2015,3,12450.0
Operating Profit,profit-loss,ADANIENT,2016,3,1684.0
Operating Profit,profit-loss,ADANIENT,2017,3,1902.0
Operating Profit,profit-loss,ADANIENT,2018,3,2038.0
Operating Profit,profit-loss,ADANIENT,2019,3,1969.0
Operating Profit,profit-loss,ADANIENT,2020,3,2294.0
Operating Profit,profit-loss,ADANIENT,2021,3,2506.0
Operating Profit,profit-loss,ADANIENT,2022,3,3714.0
Operating Profit,profit-loss,ADANIENT,2023,3,8818.0
Operating Profit,profit-loss,ADANIENT,2024,3,11377.0
OPM %,profit-loss,ADANIENT,2013,3,0.13
OPM %,profit-loss,ADANIENT,2014,3,0.17
