ratio_type,value_type,stock_symbol
trailingPE,90.78335,ADANIENT
priceToBook,9.514003,ADANIENT
priceToSalesTrailing12Months,3.49494,ADANIENT
debtToEquity,147.806,ADANIENT
earningsQuarterlyGrowth,1.158,ADANIENT
dividendYield,0.0004,ADANIENT
operatingMargins,0.111260004,ADANIENT
grossMargins,0.47907,ADANIENT
trailingPE,33.728275,ADANIPORTS
priceToBook,6.1167774,ADANIPORTS
priceToSalesTrailing12Months,11.779859,ADANIPORTS
debtToEquity,90.394,ADANIPORTS
earningsQuarterlyGrowth,0.472,ADANIPORTS
dividendYield,0.004,ADANIPORTS
operatingMargins,0.4647,ADANIPORTS
grossMargins,0.65742993,ADANIPORTS
trailingPE,95.48993,APOLLOHOSP
priceToBook,14.263723,APOLLOHOSP
priceToSalesTrailing12Months,5.01469,APOLLOHOSP
debtToEquity,72.845,APOLLOHOSP
earningsQuarterlyGrowth,0.832,APOLLOHOSP
dividendYield,0.0023,APOLLOHOSP
operatingMargins,0.09786,APOLLOHOSP
grossMargins,0.34552,APOLLOHOSP
trailingPE,59.63191,ASIANPAINT
priceToBook,16.138027,ASIANPAINT
priceToSalesTrailing12Months,8.575509,ASIANPAINT
debtToEquity,12.739,ASIANPAINT
earningsQuarterlyGrowth,-0.245,ASIANPAINT
dividendYield,0.0106,ASIANPAINT
operatingMargins,0.16344999,ASIANPAINT
grossMargins,0.42723998,ASIANPAINT
trailingPE,13.818437,AXISBANK
priceToBook,2.226038,AXISBANK
priceToSalesTrailing12Months,5.6592493,AXISBANK
returnOnEquity,0.17775999,AXISBANK
earningsQuarterlyGrowth,0.057,AXISBANK
dividendYield,0.00090000004,AXISBANK
operatingMargins,0.4689,AXISBANK
trailingPE,39.1392,BAJAJ-AUTO
priceToBook,10.724872,BAJAJ-AUTO
priceToSalesTrailing12Months,6.522358,BAJAJ-AUTO
debtToEquity,6.166,BAJAJ-AUTO
earningsQuarterlyGrowth,0.181,BAJAJ-AUTO
dividendYield,0.0073,BAJAJ-AUTO
operatingMargins,0.21282,BAJAJ-AUTO
grossMargins,0.31065,BAJAJ-AUTO
trailingPE,30.661652,BAJFINANCE
priceToBook,5.9951615,BAJFINANCE
priceToSalesTrailing12Months,13.973178,BAJFINANCE
debtToEquity,305.489,BAJFINANCE
earningsQuarterlyGrowth,0.138,BAJFINANCE
dividendYield,0.005,BAJFINANCE
operatingMargins,0.60258,BAJFINANCE
grossMargins,0.93878996,BAJFINANCE
trailingPE,35.470226,BAJAJFINSV
priceToBook,4.86348,BAJAJFINSV
priceToSalesTrailing12Months,2.5044239,BAJAJFINSV
debtToEquity,220.46,BAJAJFINSV
earningsQuarterlyGrowth,0.1,BAJAJFINSV
dividendYield,0.00059999997,BAJAJFINSV
operatingMargins,0.37357,BAJAJFINSV
grossMargins,0.50356996,BAJAJFINSV
trailingPE,8.017222,BPCL
priceToBook,2.0561109,BPCL
priceToSalesTrailing12Months,0.34525812,BPCL
debtToEquity,72.187,BPCL
earningsQuarterlyGrowth,-0.733,BPCL
dividendYield,0.0643,BPCL
operatingMargins,0.03487,BPCL
grossMargins,0.14344,BPCL
trailingPE,92.43235,BHARTIARTL
priceToBook,10.818989,BHARTIARTL
priceToSalesTrailing12Months,6.224364,BHARTIARTL
debtToEquity,186.439,BHARTIARTL
returnOnEquity,0.10931,BHARTIARTL
earningsQuarterlyGrowth,1.58,BHARTIARTL
